"path","total_files","tracked_files","markdown_files","private_files_aggregate","index_path","role","status","active_entry","replacement","privacy","suggested_disposition","reason"
"artifacts/generative-interview-board8/2026-08-03-gi059-scripted-deepseek-official-preview-r4","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-thought2-official-precheck-r4","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-03-gi059-thought2-official-precheck-r5","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi060-official-preflight","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi060-scripted-deepseek-official-preview-r1","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi061-official-preflight-feeling2","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi062-official-preflight-feeling2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi062-official-preflight-feeling2-r2","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi063-official-preflight-feeling2","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi064-official-preflight-feeling2","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi064-official-preflight-relationship2-r2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi064-scripted-deepseek-official-preview-r1","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi064-scripted-deepseek-official-preview-r2","5","5","3","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-debug-auto-dedupe","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-debug-correction-v8","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-fix-scripted-deepseek-official-preview","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-fix-scripted-deepseek-official-preview-v2","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-fix-scripted-deepseek-official-preview-v3","6","6","4","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-fix-targeted-second-direction","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-fix-thought-stability","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-fix-thought-stability-pre-hard-gate","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v2","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v3","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v4","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v5","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v6","4","4","2","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v7","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-scripted-deepseek-official-preview-v8","5","5","3","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/generative-interview-board8/2026-08-04-gi066-thought-stability","2","2","1","0","","历史证据包","历史证据","artifacts/generative-interview-board8/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留历史 Preview、修复与 No-Go 裁决"
"artifacts/interview-nodes","11","5","5","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/interview-nodes/lark-doc-integration","6","0","0","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/interview-nodes/node10","1","1","1","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/interview-nodes/node6","1","1","1","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/interview-nodes/node7","1","1","1","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/interview-nodes/node8","1","1","1","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/interview-nodes/node9","1","1","1","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/journal-generation-evaluation","319","24","12","295","artifacts/journal-generation-evaluation/README.md","当前评测证据包","现役","artifacts/journal-generation-evaluation/README.md","","公开脱敏＋私有聚合","保留","日志生成评测与隔离评审当前入口"
"artifacts/journal-generation-evaluation/formal","7","7","1","0","","当前评测证据包","现役","artifacts/journal-generation-evaluation/README.md","","公开脱敏证据","保留","日志生成评测与隔离评审当前入口"
"artifacts/local-runtime","114","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/generative-interview-board7","59","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/gi088","1","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/gi088-v7r4-sealed","1","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/gi088-v8-sealed","1","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/gi088-v8r2-preview-backup-20260810","2","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/historical-checkpoints","15","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"artifacts/local-runtime/legacy-batch-b-checkpoints","33","0","0","0","","本地运行证据","待确认","artifacts/README.md","","本地运行证据","需人工判断","包含被 Git 忽略的运行过程；清理前需确认不存在唯一原始证据"
"evals/event-centered-generative","32","32","1","0","evals/event-centered-generative/README.md","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7a-chat-e2e-single","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7a-chat-e2e-single-v1","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7a-real-output","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-prompt-skill-v0","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-prompt-skill-v0-1","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-prompt-skill-v0-2","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-prompt-skill-v0-3","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-prompt-skill-v0-4","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-semantic-frame-v1","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-thinking-capability-v1","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/board7b-working-task-v1","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/gi088-event-relationship-explanation-v1","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/gi088-human-eval-v0","2","2","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/gi088-relationship-claim-status-v1","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/event-centered-generative/gi088-response-first-two-stage-v1","1","1","0","0","","评测资产包","现役","docs/ai-evaluation-standard.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/interview-intent","74","73","21","0","evals/interview-intent/README.md","评测资产包","现役","docs/interview-intent-evaluation-source-of-truth.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/interview-intent/reports","19","19","19","0","","评测资产包","现役","docs/interview-intent-evaluation-source-of-truth.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/interview-intent/reviewer","49","49","1","0","","评测资产包","现役","docs/interview-intent-evaluation-source-of-truth.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
"evals/interview-intent/v1","4","4","0","0","","评测资产包","现役","docs/interview-intent-evaluation-source-of-truth.md","","公开评测资产","保留","承担可复现评测输入、判尺或历史回归"
